Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Condition,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Figure,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_Source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,panel,Platform,ReleaseDate,replicate,Sample Name,sample_type,section,SRA Study,strain,Also_present_in
SRR19211565,AMPLICON,246,24394766,PRJNA838025,SAMN28402292,"Microbe\, viral or environmental",12576394,GLADSTONE INSTITUTES,2020-06/2020-07,part_1_hr6,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX15275968,1,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_7_SBK_04,SINGLE,PCR,GENOMIC,Escherichia coli,ghi,ILLUMINA,2022-07-31T00:00:00Z,2,Main_1_ghi_part_1_hr6_rep2,Cell Culture,Main,SRP375182,BL21-AI,
SRR19211566,AMPLICON,246,31847040,PRJNA838025,SAMN28402552,"Microbe\, viral or environmental",15689260,GLADSTONE INSTITUTES,2022-01/2022-02,day2_PCR3,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX15275967,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_07,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,2,ED_7_abcd_day2_PCR3_rep2,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211567,AMPLICON,246,35971456,PRJNA838025,SAMN28402551,"Microbe\, viral or environmental",17732589,GLADSTONE INSTITUTES,2022-01/2022-02,day2_PCR2,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX15275966,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_06,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,2,ED_7_abcd_day2_PCR2_rep2,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211568,AMPLICON,246,34033163,PRJNA838025,SAMN28402550,"Microbe\, viral or environmental",16637702,GLADSTONE INSTITUTES,2022-01/2022-02,day2_PCR1,public,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX15275965,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_05,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,2,ED_7_abcd_day2_PCR1_rep2,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211569,AMPLICON,246,43819120,PRJNA838025,SAMN28402549,"Microbe\, viral or environmental",22026907,GLADSTONE INSTITUTES,2022-01/2022-02,day0_PCR4,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX15275964,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_54,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,2,ED_7_abcd_day0_PCR4_rep2,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211570,AMPLICON,246,44309996,PRJNA838025,SAMN28402548,"Microbe\, viral or environmental",22177654,GLADSTONE INSTITUTES,2022-01/2022-02,day0_PCR3,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX15275963,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_53,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,2,ED_7_abcd_day0_PCR3_rep2,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211571,AMPLICON,246,37401865,PRJNA838025,SAMN28402547,"Microbe\, viral or environmental",18731175,GLADSTONE INSTITUTES,2022-01/2022-02,day0_PCR2,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX15275962,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_52,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,2,ED_7_abcd_day0_PCR2_rep2,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211572,AMPLICON,246,73281737,PRJNA838025,SAMN28402546,"Microbe\, viral or environmental",47498364,GLADSTONE INSTITUTES,2022-01/2022-02,day0_PCR1,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX15275961,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_29_58,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,2,ED_7_abcd_day0_PCR1_rep2,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211574,AMPLICON,246,57242756,PRJNA838025,SAMN28402544,"Microbe\, viral or environmental",28481434,GLADSTONE INSTITUTES,2022-01/2022-02,day9_PCR3,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX15275959,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_27,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,1,ED_7_abcd_day9_PCR3_rep1,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211575,AMPLICON,246,44450004,PRJNA838025,SAMN28402543,"Microbe\, viral or environmental",22113998,GLADSTONE INSTITUTES,2022-01/2022-02,day9_PCR2,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX15275958,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_26,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,1,ED_7_abcd_day9_PCR2_rep1,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211576,AMPLICON,246,23281035,PRJNA838025,SAMN28402291,"Microbe\, viral or environmental",11999796,GLADSTONE INSTITUTES,2020-06/2020-07,part_1_hr4.5,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX15275957,1,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_7_SBK_03,SINGLE,PCR,GENOMIC,Escherichia coli,ghi,ILLUMINA,2022-07-31T00:00:00Z,2,Main_1_ghi_part_1_hr4.5_rep2,Cell Culture,Main,SRP375182,BL21-AI,
SRR19211577,AMPLICON,246,41031078,PRJNA838025,SAMN28402542,"Microbe\, viral or environmental",20333460,GLADSTONE INSTITUTES,2022-01/2022-02,day9_PCR1,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX15275956,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_25,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,1,ED_7_abcd_day9_PCR1_rep1,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211578,AMPLICON,246,32862979,PRJNA838025,SAMN28402541,"Microbe\, viral or environmental",16004437,GLADSTONE INSTITUTES,2022-01/2022-02,day5_PCR4,public,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX15275955,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_16,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,1,ED_7_abcd_day5_PCR4_rep1,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211579,AMPLICON,246,33164091,PRJNA838025,SAMN28402540,"Microbe\, viral or environmental",16247130,GLADSTONE INSTITUTES,2022-01/2022-02,day5_PCR3,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX15275954,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_15,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,1,ED_7_abcd_day5_PCR3_rep1,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211581,AMPLICON,246,37682080,PRJNA838025,SAMN28402538,"Microbe\, viral or environmental",18825413,GLADSTONE INSTITUTES,2022-01/2022-02,day5_PCR1,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX15275952,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_13,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,1,ED_7_abcd_day5_PCR1_rep1,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211582,AMPLICON,246,35110220,PRJNA838025,SAMN28402537,"Microbe\, viral or environmental",17346134,GLADSTONE INSTITUTES,2022-01/2022-02,day2_PCR4,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX15275951,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_04,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,1,ED_7_abcd_day2_PCR4_rep1,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211583,AMPLICON,246,33163270,PRJNA838025,SAMN28402536,"Microbe\, viral or environmental",16394313,GLADSTONE INSTITUTES,2022-01/2022-02,day2_PCR3,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX15275950,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_03,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,1,ED_7_abcd_day2_PCR3_rep1,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211584,AMPLICON,246,32691366,PRJNA838025,SAMN28402535,"Microbe\, viral or environmental",16008855,GLADSTONE INSTITUTES,2022-01/2022-02,day2_PCR2,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX15275949,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_02,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,1,ED_7_abcd_day2_PCR2_rep1,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211585,AMPLICON,246,35951312,PRJNA838025,SAMN28402534,"Microbe\, viral or environmental",17812142,GLADSTONE INSTITUTES,2022-01/2022-02,day2_PCR1,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX15275948,7,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_30_01,SINGLE,PCR,GENOMIC,Escherichia coli,abcd,ILLUMINA,2022-07-31T00:00:00Z,1,ED_7_abcd_day2_PCR1_rep1,Cell Culture,ED,SRP375182,bSLS.114,
SRR19211586,AMPLICON,246,18187258,PRJNA838025,SAMN28402504,"Microbe\, viral or environmental",9693407,GLADSTONE INSTITUTES,2021-05,BA_PCR2,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX15275947,4,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_17_20,SINGLE,PCR,GENOMIC,Escherichia coli,m,ILLUMINA,2022-07-31T00:00:00Z,5,Main_4_m_BA_PCR2_rep5,Cell Culture,Main,SRP375182,bSLS.114,Main_4ghji_BA_48hr_PCR2_rep5||ED_6d_PCR3_rep5
SRR19211587,AMPLICON,246,14527782,PRJNA838025,SAMN28402503,"Microbe\, viral or environmental",7741739,GLADSTONE INSTITUTES,2021-05,BA_PCR1,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX15275946,4,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_17_08,SINGLE,PCR,GENOMIC,Escherichia coli,m,ILLUMINA,2022-07-31T00:00:00Z,5,Main_4_m_BA_PCR1_rep5,Cell Culture,Main,SRP375182,bSLS.114,Main_4ghji_BA_48hr_PCR1_rep5||ED_6d_PCR2_rep5
SRR19211588,AMPLICON,246,33898870,PRJNA838025,SAMN28402287,"Microbe\, viral or environmental",20961519,GLADSTONE INSTITUTES,2019-12/2020-02,part_1_hr9,public,"sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX15275945,1,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_4_12,SINGLE,PCR,GENOMIC,Escherichia coli,ghi,ILLUMINA,2022-07-31T00:00:00Z,1,Main_1_ghi_part_1_hr9_rep1,Cell Culture,Main,SRP375182,BL21-AI,
SRR19211590,AMPLICON,246,18272228,PRJNA838025,SAMN28402501,"Microbe\, viral or environmental",9590294,GLADSTONE INSTITUTES,2021-05,BA_PCR3,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX15275943,4,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_17_28,SINGLE,PCR,GENOMIC,Escherichia coli,m,ILLUMINA,2022-07-31T00:00:00Z,4,Main_4_m_BA_PCR3_rep4,Cell Culture,Main,SRP375182,bSLS.114,Main_4ghji_BA_48hr_PCR3_rep4||ED_6d_PCR4_rep4
SRR19211591,AMPLICON,246,18057352,PRJNA838025,SAMN28402500,"Microbe\, viral or environmental",9575099,GLADSTONE INSTITUTES,2021-05,BA_PCR2,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX15275942,4,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_17_16,SINGLE,PCR,GENOMIC,Escherichia coli,m,ILLUMINA,2022-07-31T00:00:00Z,4,Main_4_m_BA_PCR2_rep4,Cell Culture,Main,SRP375182,bSLS.114,Main_4ghji_BA_48hr_PCR2_rep4||ED_6d_PCR3_rep4
SRR19211592,AMPLICON,246,15140385,PRJNA838025,SAMN28402499,"Microbe\, viral or environmental",8054118,GLADSTONE INSTITUTES,2021-05,BA_PCR1,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX15275941,4,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_17_04,SINGLE,PCR,GENOMIC,Escherichia coli,m,ILLUMINA,2022-07-31T00:00:00Z,4,Main_4_m_BA_PCR1_rep4,Cell Culture,Main,SRP375182,bSLS.114,Main_4ghji_BA_48hr_PCR1_rep4||ED_6d_PCR2_rep4
SRR19211593,AMPLICON,246,79512254,PRJNA838025,SAMN28402498,"Microbe\, viral or environmental",49983959,GLADSTONE INSTITUTES,2021-04/2021-05,BA_PCR4,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX15275940,4,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_15_48,SINGLE,PCR,GENOMIC,Escherichia coli,m,ILLUMINA,2022-07-31T00:00:00Z,3,Main_4_m_BA_PCR4_rep3,Cell Culture,Main,SRP375182,bSLS.114,ED_6d_PCR1_rep4
SRR19211594,AMPLICON,246,64342312,PRJNA838025,SAMN28402497,"Microbe\, viral or environmental",40610929,GLADSTONE INSTITUTES,2021-04/2021-05,BA_PCR3,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX15275939,4,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_15_36,SINGLE,PCR,GENOMIC,Escherichia coli,m,ILLUMINA,2022-07-31T00:00:00Z,3,Main_4_m_BA_PCR3_rep3,Cell Culture,Main,SRP375182,bSLS.114,ED_6d_PCR4_rep3
SRR19211595,AMPLICON,246,104555610,PRJNA838025,SAMN28402496,"Microbe\, viral or environmental",65871288,GLADSTONE INSTITUTES,2021-04/2021-05,BA_PCR2,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX15275938,4,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_15_24,SINGLE,PCR,GENOMIC,Escherichia coli,m,ILLUMINA,2022-07-31T00:00:00Z,3,Main_4_m_BA_PCR2_rep3,Cell Culture,Main,SRP375182,bSLS.114,ED_6d_PCR3_rep3
SRR19211596,AMPLICON,246,41024622,PRJNA838025,SAMN28402495,"Microbe\, viral or environmental",25599768,GLADSTONE INSTITUTES,2021-04/2021-05,BA_PCR1,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX15275937,4,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_15_12,SINGLE,PCR,GENOMIC,Escherichia coli,m,ILLUMINA,2022-07-31T00:00:00Z,3,Main_4_m_BA_PCR1_rep3,Cell Culture,Main,SRP375182,bSLS.114,ED_6d_PCR2_rep3
SRR19211597,AMPLICON,246,63954286,PRJNA838025,SAMN28402494,"Microbe\, viral or environmental",38907694,GLADSTONE INSTITUTES,2021-04/2021-05,BA_PCR4,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX15275936,4,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_15_44,SINGLE,PCR,GENOMIC,Escherichia coli,m,ILLUMINA,2022-07-31T00:00:00Z,2,Main_4_m_BA_PCR4_rep2,Cell Culture,Main,SRP375182,bSLS.114,Main_4ghji_BA_48hr_PCR4_rep2||ED_6d_PCR1_rep3
SRR19211598,AMPLICON,246,47475929,PRJNA838025,SAMN28402493,"Microbe\, viral or environmental",29204189,GLADSTONE INSTITUTES,2021-04/2021-05,BA_PCR3,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX15275935,4,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_15_32,SINGLE,PCR,GENOMIC,Escherichia coli,m,ILLUMINA,2022-07-31T00:00:00Z,2,Main_4_m_BA_PCR3_rep2,Cell Culture,Main,SRP375182,bSLS.114,Main_4ghji_BA_48hr_PCR3_rep2||ED_6d_PCR4_rep2
SRR19211599,AMPLICON,246,25833872,PRJNA838025,SAMN28402286,"Microbe\, viral or environmental",15948701,GLADSTONE INSTITUTES,2019-12/2020-02,part_1_hr7.5,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX15275934,1,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_4_11,SINGLE,PCR,GENOMIC,Escherichia coli,ghi,ILLUMINA,2022-07-31T00:00:00Z,1,Main_1_ghi_part_1_hr7.5_rep1,Cell Culture,Main,SRP375182,BL21-AI,
SRR19211601,AMPLICON,246,43974686,PRJNA838025,SAMN28402491,"Microbe\, viral or environmental",27007949,GLADSTONE INSTITUTES,2021-04/2021-05,BA_PCR1,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX15275932,4,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_15_08,SINGLE,PCR,GENOMIC,Escherichia coli,m,ILLUMINA,2022-07-31T00:00:00Z,2,Main_4_m_BA_PCR1_rep2,Cell Culture,Main,SRP375182,bSLS.114,Main_4ghji_BA_48hr_PCR1_rep2||ED_6d_PCR2_rep2
SRR19211602,AMPLICON,246,89638096,PRJNA838025,SAMN28402490,"Microbe\, viral or environmental",57810046,GLADSTONE INSTITUTES,2021-04/2021-05,BA_PCR4,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX15275931,4,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_15_40,SINGLE,PCR,GENOMIC,Escherichia coli,m,ILLUMINA,2022-07-31T00:00:00Z,1,Main_4_m_BA_PCR4_rep1,Cell Culture,Main,SRP375182,bSLS.114,ED_6d_PCR1_rep2
SRR19211603,AMPLICON,246,71214158,PRJNA838025,SAMN28402489,"Microbe\, viral or environmental",45363037,GLADSTONE INSTITUTES,2021-04/2021-05,BA_PCR3,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX15275930,4,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_15_28,SINGLE,PCR,GENOMIC,Escherichia coli,m,ILLUMINA,2022-07-31T00:00:00Z,1,Main_4_m_BA_PCR3_rep1,Cell Culture,Main,SRP375182,bSLS.114,ED_6d_PCR4_rep1
SRR19211604,AMPLICON,246,109990519,PRJNA838025,SAMN28402488,"Microbe\, viral or environmental",70204113,GLADSTONE INSTITUTES,2021-04/2021-05,BA_PCR2,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX15275929,4,USA,North America,USA: San Francisco,Illumina MiSeq,Liquid Culture,msSBK_15_16,SINGLE,PCR,GENOMIC,Escherichia coli,m,ILLUMINA,2022-07-31T00:00:00Z,1,Main_4_m_BA_PCR2_rep1,Cell Culture,Main,SRP375182,bSLS.114,ED_6d_PCR3_rep1
